states,scores
2211111121210122201022000,"[0, 0, 1, 0, 0]"
2001010010200000000000000,"[0.08632, 0, 0, 0, 0]"
2201011010200000000000000,"[0.04294, 0, 0, 0, 0]"
2201011010200002000010000,"[0, 0.02842, 0, 0, 0]"
2201011010220002100010000,"[0, 0, 0, 0, 0]"
2211011010220002100012000,"[0, 0, -1, -1, -1]"
2001120010100102002000000,"[0.09563, 0, 0, 0, 0]"
2001120010100102002010020,"[0, 0.06056, 0, 0, 0]"
2011120012100102002010020,"[0, 0.0119, 0, 0, 0]"
2211121012100102002010020,"[0, 0.02083, 0, 0, 0]"
2211121012120102102010020,"[0, -0.3719, -1, 0, 0]"
2211121012120112102012020,"[0, 0, -1, 0, -0.42614]"
2211121212120112102112020,"[0, 0, 0.0119, 0, 0]"
2211121212122112112112020,"[0, 0, 0.0119, 0, 0]"
2100100000000000000000000,"[0.0816, 0, 0, 0, 0]"
2110120000000000000000000,"[-1, 0, 0, 0, 0]"
2011020010200100000000000,"[1, -1, -1, 0, -1]"
2121020110200001000000000,"[0.06764, -1, 0, 0, 0]"
2121021110200001000020000,"[0, 0.05594, 0, 0, 0]"
2201021010000100002000010,"[0.87052, 0, 0, 0, 0]"
2211021010200100002000010,"[1, 0, 0, 0, 0]"
2111022110200101002020000,"[0, 0, 0, 0, 0]"
2111022110221101002020000,"[0, -1, -1, 0, 0]"
1201021010220102100012000,"[0, 0, -1, -0.07279, -1]"
1201021010220102102012010,"[0, 0, 0, 0, -0.06934]"
1221121010220102102012010,"[0, 0, -1, 0, -0.51843]"
2201120011100102002010020,"[0, 0, 0, 0, 0]"
2201122011110102002010020,"[0, 0.02321, 0, 0, 0]"
2201122011110102202011020,"[0, 0, 0.01785, 0, 0]"
2221122011110112202011020,"[0, 0, 0, 0, 0.0119]"
2101120010200100002000000,"[1, 0, 0, 0, 0]"
2001200011000000000000000,"[0.05507, 0, 0, 0, 0]"
2001220011000100000000000,"[-1, -1, -1, 0.06876, -1]"
2001120010200201001000000,"[0.06635, 0, 0, 0, 0]"
2001120011200201001020000,"[0, 0.02321, 0, 0, 0]"
2021120111200201001020000,"[0, 0.01785, 0, 0, 0]"
2221120111200201001020010,"[0, 0.0119, 0, 0, 0]"
2221122111201201001020010,"[0, 0.0119, 0, 0, 0]"
2221122111221211001020010,"[0, 1, 0, 0, 0]"
2110000000000000000000000,"[0.06984, 0, 0, 0, 0]"
2111020000000000000000000,"[-1, -1, -1, -1, 0.11938]"
2111021200000000000000000,"[0, 0, 0, 0, 0]"
2111021210200000000000000,"[1, 0, 0, 0, 0]"
2011020110000100002000020,"[0.03677, 0, 0, 0, 0]"
2011020110200101002000020,"[0.0119, 0, 0, 0, 0]"
2111020110200101002020020,"[0, 0.0119, 0, 0, 0]"
2111022110201101002020020,"[0, -1, -1, 0, 0]"
0011000200000000000000000,"[0.15527, 0, 0, 0, 0]"
2011000210000000000000000,"[0.23675, 0, 0, 0, 0]"
2011020210000100000000000,"[-1, -1, 0, 0.24173, 0]"
2011020210200101000000000,"[-1, -1, 0, 0, 0]"
2221121212120112102112010,"[0, 0, 0.01785, 0, 0]"
2221121212122112112112010,"[0, 0, 0.0119, 0, 0]"
2011020010100102002000000,"[0.10595, 0, 0, 0, 0]"
2211021010100102002000000,"[0.08871, 0, 0, 0, 0]"
2211021010120102102000000,"[0.02884, 0, 0, 0, 0]"
2211221010120102102000010,"[0.0119, 0, 0, 0, 0]"
2211221011120102102020010,"[0, 0, 0.02351, 0, -1]"
2101120010200101002000020,"[-1, 0, 0, 0, 0]"
2101120010200201001020000,"[0, 0.05002, 0, -1, -1]"
2101122010200201001020010,"[0, -1, 0, 0, 0]"
2001120000100000000000000,"[0.06273, 0, 0, 0, 0]"
2001120010100002000000000,"[0.0498, 0, 0, 0, 0]"
2201120010100102000000000,"[-1, -1, -1, 0.07599, -1]"
2201121010100102000020000,"[0, 0, 0.0119, 0, 0]"
2221021110100102002010000,"[0, 0.09774, 0, 0, 0]"
2221021110120102102010000,"[0, -1, 0.07658, -1, -1]"
2021010010000100002000000,"[0.08612, 0, 0, 0, 0]"
2021010010100100002000020,"[0.04835, 0, 0, 0, 0]"
2021010010100102002010020,"[0, 0.05599, 0, 0, 0]"
2221010110100102002010020,"[0, 0, 0, 0, 0]"
2021120010100102002010000,"[0, 0, 0, 0, 0]"
2221121010100102002010000,"[0, -0.01238, -0.16672, 0.03472, 0]"
2221121010120102102010000,"[0, -0.4381, -1, -0.4381, -0.02629]"
2221121011120102102012000,"[0, 0, -0.47765, -1, -1]"
2221121211120102102012010,"[0, 0, 0.02321, 0, -1]"
2221121211122102112012010,"[0, 0, 0.03154, 0, 0]"
2221121211122112112012210,"[0, 0, 0, 0, 0.02083]"
2211020110000000000000000,"[0, 0, 0, 0, 0]"
2211021110002000000000000,"[0.0119, 0, 0, 0, 0]"
2211021110212000000000000,"[1, 0, 0, 0, 0]"
2011020010100200000000000,"[0.08204, 0, 0, 0, 0]"
2011020010100202001000000,"[0.07668, 0, 0, 0, 0]"
2111020010100202001020000,"[0, 0, 0, 0, 0.06496]"
2201021010200101002000010,"[0.07887, 0, 0, 0, 0]"
2201221010210101002000010,"[0.07573, 0, 0, 0, 0]"
2201221011210101202000010,"[0.03647, 0, -1, 0, 0]"
2201221011210111202020010,"[0, 0, 0, 0, 0]"
2211221011210111202022010,"[0, 0, -1, 0, -1]"
2201010010000000000000000,"[0.06228, 0, 0, 0, 0]"
2201211010200100000000000,"[0, 0, 0, 0.05617, 0]"
0101000020000000000000000,"[0.0569, 0, 0, 0, 0]"
2101021020200101000000000,"[0.0454, 0, 0, 0, 0]"
2101121020200101000020000,"[0, -1, 0.03197, 0, 0]"
2101121020220101001020000,"[0, 0.0119, 0, 0, 0]"
2101121021220101201020000,"[0, -1, 0, 0, 0]"
1100020000000000000000000,"[0.03556, 0, 0, 0, 0]"
1101020000200000000000000,"[-1, 0, 0.2442, 0, 0]"
2101010010200002000000000,"[0.0496, 0, 0, 0, 0]"
2101011010200002000020000,"[0, 0, 0, 0, 0]"
2111011010220002000020000,"[0, -1, 0.0119, -1, 0]"
1201000010000200000000000,"[0, 0, 0, 0, 0]"
1201020010100200000000000,"[0.06816, 0, 0, 0, 0]"
1201020010100202000010000,"[0, 0.06905, 0, 0, 0]"
1201022010110202000010000,"[0, 0.06285, 0, 0, 0]"
1201022010110202201010000,"[0, 0.05548, 0, 0, 0]"
1201022010110202201012010,"[0, 0, 0.04716, 0, 0]"
1221022110110202201012010,"[0, 0, 0.03694, 0, 0]"
1221222110111202201012010,"[0, 0, 0.02321, 0, 0]"
1221222111111202221012010,"[0, 0, 0, 0, 0]"
1221222111111212221012210,"[0, 0, 0, 0, 0.0119]"
2011020010200001000000000,"[0, 0.24958, 0, 0, 0]"
2211000010000000000000000,"[0.07973, 0, 0, 0, 0]"
2211220010100100000000000,"[-1, -1, 0, 0, 0]"
1201000000000000000000000,"[0.09772, 0, 0, 0, 0]"
1201021000000000000000000,"[0.08671, 0, 0, 0, 0]"
1201021010200000000000000,"[0.06587, 0, 0, 0, 0]"
1211021010220002000010000,"[0, 0.05062, 0, 0, 0]"
1211021110220002200010000,"[0, 0.03444, 0, 0, 0]"
1211021110220102200012000,"[0, 0, 0, 0.52837, 0]"
1201120010200002000010000,"[0, 0.52965, 0, 0, 0]"
1201122010210002000010000,"[0, 0.06661, 0, 0, 0]"
1201122010210002200011000,"[0, 0, 0.02083, 0, 0]"
1221122110210002200011000,"[0, 0, 0, 0, 0]"
1221122110212002210011000,"[0, 0, 0.0119, 0, 0]"
1221122110212102210011200,"[0, 0, 0, -1, 0]"
2201021010110102002010020,"[0, 0.02066, 0, 0, 0]"
2201021010110102202011020,"[0, 0, 0.29677, 0, -0.3806]"
2201221011110102202011020,"[0, 0, -1, 0, -0.42422]"
2201201010000100000000000,"[-1, -1, 0.02886, 0, 0]"
2101120012200001000000000,"[0, 0.03968, 0, 0, 0]"
2101020010000200001000000,"[0.02951, 0, 0, 0, 0]"
2101020010200201001000000,"[0.0412, 0, 0, 0, 0]"
2111020010200201001020000,"[0, 0.0241, -1, 0, 0]"
2111022010210201001020000,"[0, -1, -1, -1, 0]"
2201221010110102002010000,"[0, -0.07404, -0.4381, -0.17381, -0.10077]"
2201221011110102202010000,"[0, -0.4381, -1, -0.368, -0.03291]"
2221221011110102202011000,"[0, 0, -1, -1, -1]"
2021010110002000000000000,"[0.0119, 0, 0, 0, 0]"
2021010110202001000000000,"[0.02618, 0, 0, 0, 0]"
2121010110202001000020000,"[0, 0, 0.0119, -1, 0]"
1002000010000000000000000,"[0.051, 0, 0, 0, 0]"
1002020010000100000000000,"[0.03138, 0, 0, 0, 0]"
1002020010200101000000000,"[0.03354, 0, 0, 0, 0]"
1102020010200101000020000,"[0, 0, 0, 0, 0]"
1102022010210101000020000,"[0, 0.04161, 0, 0, 0]"
1102022010210101200021000,"[0, 0, 0.0331, 0, 0]"
1122022110210101200021000,"[0, 0, 0.0119, 0, 0]"
1122022110212101201021000,"[0, 0, 0, 0.0119, 0]"
2101102020000100000000000,"[0, 0, 0.0119, 0, 0]"
1221000010000000000000000,"[0.05122, 0, 0, 0, 0]"
1221020010000100000000000,"[0, 0, -1, 0.04124, 0]"
2011020110200201000000000,"[0.02946, 0, 0, 0, 0]"
2011120110200201000020000,"[0, 0.0119, 0, 0, 0]"
2211120111200201000020000,"[0, 0, 0, 0, 0]"
2211122111201201000020000,"[0, 0.0119, 0, 0, -1]"
2211122111221211000020000,"[0, 0, -1, 0, 0]"
2101220010100100002000000,"[0.0623, 0, 0, 0, 0]"
2121220011100100002000000,"[0.0119, 0, 0, 0, 0]"
2121220111100102002000000,"[0, 0.01785, 0, 0, 0]"
2101120010200000000000000,"[1, -1, 0, -1, 0]"
2021010010000000000000000,"[0.04164, 0, 0, 0, 0]"
2021010110200000000000000,"[0.03486, 0, 0, 0, 0]"
2021010110201002000000000,"[0.05234, -1, 0, 0, 0]"
2021010110201002010020000,"[0, -1, 0.04074, 0, -1]"
2201221011120102102012010,"[0, 0, -1, 0, -0.63648]"
2211221011120122102012010,"[0, 0, -1, 0, -1]"
2211221211120122102112010,"[0, 0, 0.01785, 0, 0]"
2001220011100101002020000,"[0, 0.05929, 0, 0, 0]"
2201221011100101002020000,"[0, 0.04581, 0, 0, 0]"
2201221011120101102020000,"[0, 0.03437, -1, 0, 0]"
2201221011120121102021000,"[0, 0, -1, 0, 0]"
2221221011120121102121000,"[0, 0, 0.0119, 0, 0]"
2221221211121121102121000,"[0, 0, 0.0119, 0, 0]"
2221221211121121122121010,"[0, 0, 0.0119, 0, 0]"
2011010000200000000000000,"[0.04159, 0, 0, 0, 0]"
